State,Action,NextState
"(4378.5, 40.0, 4378.75, 13.0)",WAIT,"(4378.5, 40.0, 4378.75, 17.0)"
"(4378.5, 40.0, 4378.75, 17.0)",WAIT,"(4378.5, 39.0, 4378.75, 17.0)"
"(4378.5, 39.0, 4378.75, 17.0)",WAIT,"(4378.5, 39.0, 4378.75, 18.0)"
"(4378.5, 39.0, 4378.75, 18.0)",WAIT,"(4378.5, 39.0, 4378.75, 19.0)"
"(4378.5, 39.0, 4378.75, 19.0)",WAIT,"(4378.5, 39.0, 4378.75, 20.0)"
"(4378.5, 39.0, 4378.75, 20.0)",WAIT,"(4378.5, 39.0, 4378.75, 21.0)"
"(4378.5, 39.0, 4378.75, 21.0)",WAIT,"(4378.5, 38.0, 4378.75, 21.0)"
"(4378.5, 38.0, 4378.75, 21.0)",WAIT,"(4378.5, 37.0, 4378.75, 21.0)"
"(4378.5, 37.0, 4378.75, 21.0)",WAIT,"(4378.5, 36.0, 4378.75, 21.0)"
"(4378.5, 36.0, 4378.75, 21.0)",WAIT,"(4378.5, 35.0, 4378.75, 21.0)"
"(4378.5, 35.0, 4378.75, 21.0)",WAIT,"(4378.5, 34.0, 4378.75, 21.0)"
"(4378.5, 34.0, 4378.75, 21.0)",WAIT,"(4378.5, 31.0, 4378.75, 21.0)"
"(4378.5, 31.0, 4378.75, 21.0)",WAIT,"(4378.5, 31.0, 4378.75, 22.0)"
"(4378.5, 31.0, 4378.75, 22.0)",WAIT,"(4378.5, 31.0, 4378.75, 23.0)"
"(4378.5, 31.0, 4378.75, 23.0)",WAIT,"(4378.5, 30.0, 4378.75, 23.0)"
"(4378.5, 30.0, 4378.75, 23.0)",WAIT,"(4378.5, 30.0, 4378.75, 22.0)"
"(4378.5, 30.0, 4378.75, 22.0)",WAIT,"(4378.5, 30.0, 4378.75, 23.0)"
"(4378.5, 30.0, 4378.75, 23.0)",WAIT,"(4378.5, 30.0, 4378.75, 27.0)"
"(4378.5, 30.0, 4378.75, 27.0)",WAIT,"(4378.5, 29.0, 4378.75, 27.0)"
"(4378.5, 29.0, 4378.75, 27.0)",WAIT,"(4378.5, 27.0, 4378.75, 27.0)"
"(4378.5, 27.0, 4378.75, 27.0)",WAIT,"(4378.5, 23.0, 4378.75, 27.0)"
"(4378.5, 23.0, 4378.75, 27.0)",WAIT,"(4378.5, 22.0, 4378.75, 27.0)"
"(4378.5, 22.0, 4378.75, 27.0)",WAIT,"(4378.5, 25.0, 4378.75, 27.0)"
"(4378.5, 25.0, 4378.75, 27.0)",WAIT,"(4378.5, 25.0, 4378.75, 26.0)"
"(4378.5, 25.0, 4378.75, 26.0)",WAIT,"(4378.5, 26.0, 4378.75, 26.0)"
"(4378.5, 26.0, 4378.75, 26.0)",WAIT,"(4378.5, 27.0, 4378.75, 26.0)"
"(4378.5, 27.0, 4378.75, 26.0)",WAIT,"(4378.5, 27.0, 4378.75, 25.0)"
"(4378.5, 27.0, 4378.75, 25.0)",WAIT,"(4378.5, 27.0, 4378.75, 21.0)"
"(4378.5, 27.0, 4378.75, 21.0)",WAIT,"(4378.5, 27.0, 4378.75, 20.0)"
"(4378.5, 27.0, 4378.75, 20.0)",WAIT,"(4378.5, 31.0, 4378.75, 20.0)"
"(4378.5, 31.0, 4378.75, 20.0)",WAIT,"(4378.5, 31.0, 4378.75, 19.0)"
"(4378.5, 31.0, 4378.75, 19.0)",WAIT,"(4378.5, 31.0, 4378.75, 18.0)"
"(4378.5, 31.0, 4378.75, 18.0)",WAIT,"(4378.5, 31.0, 4378.75, 19.0)"
"(4378.5, 31.0, 4378.75, 19.0)",WAIT,"(4378.5, 30.0, 4378.75, 19.0)"
"(4378.5, 30.0, 4378.75, 19.0)",WAIT,"(4378.5, 30.0, 4378.75, 20.0)"
"(4378.5, 30.0, 4378.75, 20.0)",WAIT,"(4378.5, 29.0, 4378.75, 20.0)"
"(4378.5, 29.0, 4378.75, 20.0)",WAIT,"(4378.5, 29.0, 4378.75, 21.0)"
"(4378.5, 29.0, 4378.75, 21.0)",WAIT,"(4378.5, 29.0, 4378.75, 22.0)"
"(4378.5, 29.0, 4378.75, 22.0)",WAIT,"(4378.5, 25.0, 4378.75, 22.0)"
"(4378.5, 25.0, 4378.75, 22.0)",WAIT,"(4378.5, 25.0, 4378.75, 21.0)"
"(4378.5, 25.0, 4378.75, 21.0)",WAIT,"(4378.5, 25.0, 4378.75, 25.0)"
"(4378.5, 25.0, 4378.75, 25.0)",WAIT,"(4378.5, 22.0, 4378.75, 25.0)"
"(4378.5, 22.0, 4378.75, 25.0)",WAIT,"(4378.5, 22.0, 4378.75, 26.0)"
"(4378.5, 22.0, 4378.75, 26.0)",WAIT,"(4378.5, 22.0, 4378.75, 25.0)"
"(4378.5, 22.0, 4378.75, 25.0)",WAIT,"(4378.5, 22.0, 4378.75, 26.0)"
"(4378.5, 22.0, 4378.75, 26.0)",WAIT,"(4378.5, 21.0, 4378.75, 26.0)"
"(4378.5, 21.0, 4378.75, 26.0)",WAIT,"(4378.5, 20.0, 4378.75, 26.0)"
"(4378.5, 20.0, 4378.75, 26.0)",WAIT,"(4378.5, 19.0, 4378.75, 26.0)"
"(4378.5, 19.0, 4378.75, 26.0)",WAIT,"(4378.5, 19.0, 4378.75, 25.0)"
"(4378.5, 19.0, 4378.75, 25.0)",WAIT,"(4378.5, 18.0, 4378.75, 25.0)"
"(4378.5, 18.0, 4378.75, 25.0)",WAIT,"(4378.5, 18.0, 4378.75, 26.0)"
"(4378.5, 18.0, 4378.75, 26.0)",WAIT,"(4378.5, 19.0, 4378.75, 26.0)"
"(4378.5, 19.0, 4378.75, 26.0)",WAIT,"(4378.5, 22.0, 4378.75, 26.0)"
"(4378.5, 22.0, 4378.75, 26.0)",WAIT,"(4378.5, 23.0, 4378.75, 26.0)"
"(4378.5, 23.0, 4378.75, 26.0)",WAIT,"(4378.5, 24.0, 4378.75, 26.0)"
"(4378.5, 24.0, 4378.75, 26.0)",WAIT,"(4378.5, 24.0, 4378.75, 25.0)"
"(4378.5, 24.0, 4378.75, 25.0)",WAIT,"(4378.5, 25.0, 4378.75, 25.0)"
"(4378.5, 25.0, 4378.75, 25.0)",WAIT,"(4378.5, 26.0, 4378.75, 25.0)"
"(4378.5, 26.0, 4378.75, 25.0)",WAIT,"(4378.5, 26.0, 4378.75, 21.0)"
"(4378.5, 26.0, 4378.75, 21.0)",WAIT,"(4378.5, 26.0, 4378.75, 20.0)"
"(4378.5, 26.0, 4378.75, 20.0)",WAIT,"(4378.5, 26.0, 4378.75, 21.0)"
"(4378.5, 26.0, 4378.75, 21.0)",WAIT,"(4378.5, 26.0, 4378.75, 20.0)"
"(4378.5, 26.0, 4378.75, 20.0)",WAIT,"(4378.5, 30.0, 4378.75, 20.0)"
"(4378.5, 30.0, 4378.75, 20.0)",WAIT,"(4378.5, 30.0, 4378.75, 21.0)"
"(4378.5, 30.0, 4378.75, 21.0)",WAIT,"(4378.5, 30.0, 4378.75, 22.0)"
"(4378.5, 30.0, 4378.75, 22.0)",WAIT,"(4378.5, 30.0, 4378.75, 23.0)"
"(4378.5, 30.0, 4378.75, 23.0)",WAIT,"(4378.5, 27.0, 4378.75, 23.0)"
"(4378.5, 27.0, 4378.75, 23.0)",WAIT,"(4378.5, 26.0, 4378.75, 23.0)"
"(4378.5, 26.0, 4378.75, 23.0)",WAIT,"(4378.5, 25.0, 4378.75, 23.0)"
"(4378.5, 25.0, 4378.75, 23.0)",WAIT,"(4378.5, 25.0, 4378.75, 22.0)"
"(4378.5, 25.0, 4378.75, 22.0)",WAIT,"(4378.5, 24.0, 4378.75, 22.0)"
"(4378.5, 24.0, 4378.75, 22.0)",WAIT,"(4378.5, 24.0, 4378.75, 26.0)"
"(4378.5, 24.0, 4378.75, 26.0)",WAIT,"(4378.5, 20.0, 4378.75, 26.0)"
"(4378.5, 20.0, 4378.75, 26.0)",WAIT,"(4378.5, 19.0, 4378.75, 26.0)"
"(4378.5, 19.0, 4378.75, 26.0)",WAIT,"(4378.5, 20.0, 4378.75, 26.0)"
"(4378.5, 20.0, 4378.75, 26.0)",WAIT,"(4378.5, 21.0, 4378.75, 26.0)"
"(4378.5, 21.0, 4378.75, 26.0)",WAIT,"(4378.5, 22.0, 4378.75, 26.0)"
"(4378.5, 22.0, 4378.75, 26.0)",WAIT,"(4378.5, 23.0, 4378.75, 26.0)"
"(4378.5, 23.0, 4378.75, 26.0)",WAIT,"(4378.5, 23.0, 4378.75, 22.0)"
"(4378.5, 23.0, 4378.75, 22.0)",WAIT,"(4378.5, 26.0, 4378.75, 22.0)"
"(4378.5, 26.0, 4378.75, 22.0)",WAIT,"(4378.5, 26.0, 4378.75, 21.0)"
"(4378.5, 26.0, 4378.75, 21.0)",WAIT,"(4378.5, 30.0, 4378.75, 21.0)"
"(4378.5, 30.0, 4378.75, 21.0)",WAIT,"(4378.5, 30.0, 4378.75, 20.0)"
"(4378.5, 30.0, 4378.75, 20.0)",WAIT,"(4378.5, 30.0, 4378.75, 21.0)"
"(4378.5, 30.0, 4378.75, 21.0)",WAIT,"(4378.5, 29.0, 4378.75, 21.0)"
"(4378.5, 29.0, 4378.75, 21.0)",WAIT,"(4378.5, 29.0, 4378.75, 22.0)"
"(4378.5, 29.0, 4378.75, 22.0)",WAIT,"(4378.5, 26.0, 4378.75, 22.0)"
"(4378.5, 26.0, 4378.75, 22.0)",WAIT,"(4378.5, 26.0, 4378.75, 23.0)"
"(4378.5, 26.0, 4378.75, 23.0)",WAIT,"(4378.5, 22.0, 4378.75, 23.0)"
