Timestamp,Type,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size
2023-09-22 09:30:00.027550813,Quote,,,4378.5,30.0,4378.75,24.0
2023-09-22 09:30:00.027617022,Quote,,,4378.5,30.0,4378.75,23.0
2023-09-22 09:30:00.108230447,Quote,,,4378.5,31.0,4378.75,23.0
2023-09-22 09:30:00.108230447,Quote,,,4378.5,32.0,4378.75,23.0
2023-09-22 09:30:00.108230447,Quote,,,4378.5,32.0,4378.75,22.0
2023-09-22 09:30:00.108230447,Quote,,,4378.5,32.0,4378.75,19.0
2023-09-22 09:30:00.108230447,Quote,,,4378.5,32.0,4378.75,15.0
2023-09-22 09:30:00.108230447,Quote,,,4378.5,32.0,4378.75,13.0
2023-09-22 09:30:00.108230447,Quote,,,4378.5,32.0,4378.75,12.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,32.0,4378.75,9.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,33.0,4378.75,9.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,34.0,4378.75,9.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,34.0,4378.75,8.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,34.0,4378.75,7.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,34.0,4378.75,6.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,34.0,4378.75,5.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,34.0,4378.75,4.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,35.0,4378.75,4.0
2023-09-22 09:30:00.157685085,Trade,4378.75,4.0,4378.5,35.0,4378.75,4.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,35.0,4379.0,52.0
2023-09-22 09:30:00.157685085,Quote,,,4378.75,1.0,4379.0,52.0
2023-09-22 09:30:00.157685085,Quote,,,4378.75,1.0,4379.0,53.0
2023-09-22 09:30:00.157685085,Quote,,,4378.75,2.0,4379.0,53.0
2023-09-22 09:30:00.157685085,Quote,,,4378.75,2.0,4379.0,43.0
2023-09-22 09:30:00.157685085,Trade,4378.75,2.0,4378.75,2.0,4379.0,43.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,37.0,4379.0,43.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,36.0,4379.0,43.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,37.0,4379.0,43.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,37.0,4379.0,44.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,37.0,4379.0,45.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,39.0,4379.0,45.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,39.0,4379.0,43.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,39.0,4378.75,1.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,39.0,4378.75,3.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,39.0,4378.75,4.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,40.0,4378.75,4.0
2023-09-22 09:30:00.157685085,Quote,,,4378.5,39.0,4378.75,4.0
2023-09-22 09:30:00.158044883,Quote,,,4378.5,40.0,4378.75,4.0
2023-09-22 09:30:00.158044883,Quote,,,4378.5,39.0,4378.75,4.0
2023-09-22 09:30:00.158044883,Quote,,,4378.5,39.0,4378.75,5.0
2023-09-22 09:30:00.158044883,Quote,,,4378.5,40.0,4378.75,5.0
2023-09-22 09:30:00.158044883,Quote,,,4378.5,40.0,4378.75,4.0
2023-09-22 09:30:00.158044883,Quote,,,4378.5,40.0,4378.75,5.0
2023-09-22 09:30:00.162525653,Quote,,,4378.5,40.0,4378.75,4.0
2023-09-22 09:30:00.162898107,Quote,,,4378.5,40.0,4378.75,3.0
2023-09-22 09:30:00.167988757,Quote,,,4378.5,40.0,4378.75,4.0
2023-09-22 09:30:00.167988757,Quote,,,4378.5,40.0,4378.75,7.0
2023-09-22 09:30:00.167988757,Quote,,,4378.5,40.0,4378.75,8.0
2023-09-22 09:30:00.167988757,Quote,,,4378.5,40.0,4378.75,10.0
2023-09-22 09:30:00.187833848,Quote,,,4378.5,40.0,4378.75,8.0
2023-09-22 09:30:00.187833848,Quote,,,4378.5,40.0,4378.75,7.0
2023-09-22 09:30:00.227592750,Quote,,,4378.5,40.0,4378.75,4.0
2023-09-22 09:30:00.227592750,Quote,,,4378.5,40.0,4378.75,3.0
2023-09-22 09:30:00.272623876,Quote,,,4378.5,40.0,4378.75,4.0
2023-09-22 09:30:00.273398777,Quote,,,4378.5,40.0,4378.75,5.0
2023-09-22 09:30:00.273398777,Quote,,,4378.5,40.0,4378.75,6.0
2023-09-22 09:30:00.273398777,Quote,,,4378.5,40.0,4378.75,9.0
2023-09-22 09:30:00.348154914,Quote,,,4378.5,40.0,4378.75,11.0
2023-09-22 09:30:00.348154914,Quote,,,4378.5,40.0,4378.75,12.0
2023-09-22 09:30:00.348154914,Quote,,,4378.5,40.0,4378.75,13.0
2023-09-22 09:30:00.348154914,Quote,,,4378.5,40.0,4378.75,17.0
2023-09-22 09:30:00.348154914,Quote,,,4378.5,39.0,4378.75,17.0
2023-09-22 09:30:00.348154914,Quote,,,4378.5,39.0,4378.75,18.0
2023-09-22 09:30:00.348154914,Quote,,,4378.5,39.0,4378.75,19.0
2023-09-22 09:30:00.348154914,Quote,,,4378.5,39.0,4378.75,20.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,39.0,4378.75,21.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,38.0,4378.75,21.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,37.0,4378.75,21.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,36.0,4378.75,21.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,35.0,4378.75,21.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,34.0,4378.75,21.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,31.0,4378.75,21.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,31.0,4378.75,22.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,31.0,4378.75,23.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,30.0,4378.75,23.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,30.0,4378.75,22.0
2023-09-22 09:30:00.518393829,Quote,,,4378.5,30.0,4378.75,23.0
2023-09-22 09:30:00.523317092,Quote,,,4378.5,30.0,4378.75,27.0
